Word;Arousal 1-9;Source (W= Warriner, N=Nasa TLX, E=Elovainio, B=Brainstormed, Karasek=K, P=Profanities, L=LIWC, S=Synonyms);Suomi Google Translate;MM;
fatal;8,5;W;kohtalokas;fatal;
asap;8;S;mahdollisimman pian;asap;
blocker;8;S;esto;blocker;
extremely;8;S;erittäin;erittäin;
amazing;8;S;hämmästyttävä;mahtava;
excited;8;W;innoissaan;innoissa;
exciting;8;W;jännittävä;jännittä;
excellent;7,5;S;erinomainen;erinomainen;
fantastic;7,5;W;fantastinen;fantastinen;
attacks;7,5;S;iskut;hyökkäys;
attacker;7,5;W;hyökkääjä;hyökkääjä;
emergency;7,5;W;hätä;hätä;
insanity;7,5;W;järjettömyys;järjettömyys;
horrible;7,5;S;kamala;kamala;
horribly;7,5;S;kauhistuttavan;kauhea;
denial;7,5;S;kieltäminen;esto;
urgent;7,5;W;kiireellinen;kiire;
urgently;7,5;S;kiireellisesti;pian;
critical;7,5;S;kriittinen;kriitti;
brilliant;7,5;S;loistava;loistava;
appealing;7,5;S;miellyttävä;miellyt;
nightmare;7,5;S;painajainen;painajai;
shit;7,5;P;paska;paska;
severe;7,5;S;vaikea;severe;
blows;7,5;S;puhaltaa;surkea;
severely;7,5;S;vakavasti;vakava;
deadline;7;B;takaraja;deadline;
grave;7;S;hauta;hauta;
nervous;7;E;hermostunut;hermostu;
attractive;7;S;viehättävä;upea;
terribly;7;S;hirveästi;hirveästi;
attack;7;W;hyökkäys;hyök;
wonderful;7;S;ihana;ihana;
struggling;7;S;kamppailee;kamppail;
terrible;7;S;kauhea;kauhe;
hurry;7;S;kiire;äkkiä;
rush;7;W;kiire;nopeasti;
ambitious;7;S;kunnianhimoinen;kunnianhimoinen;
exploit;7;S;käyttää hyväkseen;käyttää hyväkseen;
impossible;7;S;mahdoton;mahdoton;
awesome;7;W;mahtava;mahtava;
amount;7;S;määrä;määrä;
deadlines;7;S;määräajat;määräai;
scared;7;S;pelästynyt;pelästynyt;
;;;;pelkää;
;;;;pelätä;
;;;;peloissaan;
love;7;S;rakkaus;hieno;
stress;7;E;stressi;stress;
struggle;7;S;taistelu;taistelu;
killer;7;W;tappaja;tappaja;
destructive;7;W;tuhoisa;tuhoisa;
incredibly;7;S;uskomattoman;uskomatt;
dangerous;7;W;vaarallinen;vaarall;
difficult;7;S;vaikea;vaikea;
difficulty;7;S;vaikeus;vaikeus;
huge;7;S;valtava;valtava;
wow;7;S;Vau;Vau;
hate;7;W;vihata;viha;
argue;7;W;väitellä;väitellä;
;;;;väittää;
xss;7;S;XSS;XSS;
irritating;7;S;ärsyttävä;ärsytt;
vulnerability;6,5;S;alttius;alttius;
impractical;6,5;S;epäkäytännöllinen;epäkäytännölli;
disagreement;6,5;S;erimielisyys;erimielisyys;
vulnerable;6,5;S;haavoittuva;haavoittuva;
malicious;6,5;S;ilkeä;haital;
complex;6,5;N;monimutkainen;hankala;
hell;6,5;P;helvetti;helvetti;
idiot;6,5;S;idiootti;idiootti;
drastic;6,5;S;jyrkkä;jyrkkä;
interested;6,5;S;kiinnostunut;kiinnostunut;
nuisance;6,5;S;kiusa;kiusa;
unacceptable;6,5;S;mahdoton hyväksyä;mahdoton;
anytime;6,5;L;milloin tahansa;milloin;
complicated;6,5;W;monimutkainen;monimutkainen;
nailed;6,5;S;naulattu;naulattu;
quicker;6,5;S;nopeampi;nopeampi;
spew;6,5;S;oksentaa;oksentaa;
disagree;6,5;S;olla eri mieltä;olla eri mieltä;
troubles;6,5;S;ongelmia;ongelm;
heck;6,5;S;pahus;pahus;
panic;6,5;L;paniikki;paniikki;
scary;6,5;S;pelottava;pelottava;
shortly;6,5;S;pian;pian;
soon;6,5;B;pian;äkkiä;
drastically;6,5;S;rajusti;raju;
achievable;6,5;S;saavutettavissa;saavutettavissa;
showstopper;6,5;S;showstopper;showstopper;
upset;6,5;S;poissa tolaltaan;tolaltaan;
frustrated;6,5;S;turhautunut;turhaut;
frustrating;6,5;S;turhauttava;turhauttava;
perfect;6,5;L;täydellinen;täydellinen;
utterly;6,5;S;täysin;täysi;
complicating;6,5;S;vaikeuttaa;vaikeuttaa;
impressive;6,5;S;vaikuttava;vaikuttava;
trouble;6,5;W;vaivata;vaiva;
enormous;6,5;S;valtava;valtava;
tremendous;6,5;S;valtava;iso;
certainly;6,5;S;varmasti;varmasti;
strongly;6,5;S;voimakkaasti;voimak;
argued;6,5;S;väitti;väitti;
clash;6,5;S;yhteentörmäys;yhteentörmäys;
meanwhile;6;L;sillä välin;aikaa;
accomplished;6;S;aikaan;aikaan;
appreciate;6;S;arvostaa;arvostaa;
dramatic;6;S;dramaattinen;dramaatti;
dramatically;6;S;dramaattisesti;dramaattisesti;
anticipate;6;S;ennakoida;ennakoida;
doubt;6;S;epäillä;epäil;
very;6;S;erittäin;erittäin;
hack;6;S;hakata;hack;
tricky;6;S;hankala;hankala;
easiest;6;S;helpoin;helpoin;
worries;6;S;huolet;huole;
concerned;6;S;huolestunut;huolestunut;
worried;6;W;huolestunut;huolestunut;
worry;6;W;huoli;huoli;
bad;6;S;huono;huono;
nasty;6;W;ilkeä;ilkeä;
